JUD,CE,TIP_PV,CODU,DEN_CIRC,DEN1_FP,DEN2_FP,DEN3_FP,DEN4_FP,NPOZ,TA,TAPU,MAJA,MAJV,TVVE,TVN,VVE,MCF1,MCF2,N_CONS_L,DATA,X_CONS_L
1,1,2,0,MUNICIPIUL ALBA IULIA,,,,,0,56049,28076,28025,0,26512,1564,26512,14,9,23,2 iunie,23
1,1,2,34,,"PARTIDUL ""NOUA ROMANIE""",,,,1,0,0,0,0,0,0,473,0,0,,2 iunie,0
1,1,2,36,,PARTIDUL ALIANTEI CIVICE,,,,2,0,0,0,0,0,0,1944,1,1,,2 iunie,2
1,1,2,97,,PARTIDUL ROMANIA MARE,,,,3,0,0,0,0,0,0,492,0,0,,2 iunie,0
1,1,2,78,,PARTIDUL NATIONAL ROMAN,INDEPENDENT,,,4,0,0,0,0,0,0,240,0,0,,2 iunie,0
1,1,2,112,,PARTIDUL UMANIST DIN ROMANIA,,,,5,0,0,0,0,0,0,149,0,0,,2 iunie,0
1,1,2,136,,UNIUNEA SOCIAL DEMOCRATA,PD(FSN) - PSDR,,,6,0,0,0,0,0,0,6782,5,1,,2 iunie,6
1,1,2,50,,PARTIDUL DEMOCRATIEI SOCIALE,DIN ROMANIA,,,7,0,0,0,0,0,0,3060,2,1,,2 iunie,3
1,1,2,41,,PARTIDUL DEMOCRAT AGRAR DIN,ROMANIA,,,8,0,0,0,0,0,0,425,0,0,,2 iunie,0
1,1,2,27,,MISCAREA ECOLOGISTA DIN ROMANIA,,,,9,0,0,0,0,0,0,1658,1,1,,2 iunie,2
1,1,2,19,,CONVENTIA DEMOCRATICA DIN,ROMANIA,,,10,0,0,0,0,0,0,5101,4,1,,2 iunie,5
1,1,2,138,,PARTIDUL SOCIALIST,,,,11,0,0,0,0,0,0,208,0,0,,2 iunie,0
1,1,2,62,,PARTIDUL LIBERAL - 1993,,,,12,0,0,0,0,0,0,448,0,0,,2 iunie,0
1,1,2,115,,PARTIDUL UNITATII NATIONALE,ROMANE,,,13,0,0,0,0,0,0,1278,1,0,,2 iunie,1
1,1,2,75,,PARTIDUL NATIONAL LIBERAL,(CAMPEANU),,,14,0,0,0,0,0,0,175,0,0,,2 iunie,0
1,1,2,91,,PARTIDUL REPUBLICAN,,,,15,0,0,0,0,0,0,50,0,0,,2 iunie,0
1,1,2,125,,UNIUNEA DEMOCRATA A ROMILOR DIN,ROMANIA,,,16,0,0,0,0,0,0,214,0,0,,2 iunie,0
1,1,2,104,,PARTIDUL SOCIALIST AL MUNCII,,,,17,0,0,0,0,0,0,1095,0,1,,2 iunie,1
1,1,2,128,,UNIUNEA DEMOCRATA MAGHIARA DIN,ROMANIA,,,18,0,0,0,0,0,0,500,0,1,,2 iunie,1
1,1,2,69,,PARTIDUL NATIONAL AL,AUTOMOBILISTILOR DIN ROMANIA,,,19,0,0,0,0,0,0,493,0,1,,2 iunie,1
1,1,2,999,,BACIU GRIGORE CORIOL,CANDIDAT INDEPENDENT,,,20,0,0,0,0,0,0,392,0,0,,2 iunie,0
1,1,2,999,,MARGINEANU TOMA,CANDIDAT INDEPENDENT,,,21,0,0,0,0,0,0,70,0,0,,2 iunie,0
1,1,2,999,,RUSU MIRCEA LIVIU,CANDIDAT INDEPENDENT,,,22,0,0,0,0,0,0,111,0,0,,2 iunie,0
1,1,2,999,,LAZAR IOAN,CANDIDAT INDEPENDENT,,,23,0,0,0,0,0,0,243,0,0,,2 iunie,0
1,1,2,999,,BABITCHI MIHAI,CANDIDAT INDEPENDENT,,,24,0,0,0,0,0,0,279,0,0,,2 iunie,0
1,1,2,999,,RAVINEALA BORIS,CANDIDAT INDEPENDENT,,,25,0,0,0,0,0,0,41,0,0,,2 iunie,0
1,1,2,999,,UDREA DORIN,CANDIDAT INDEPENDENT,,,26,0,0,0,0,0,0,591,0,1,,2 iunie,1
1,2,2,0,MUNICIPIUL AIUD,,,,,0,22508,14006,11255,0,13138,868,13138,16,5,21,2 iunie,21
1,2,2,62,,PARTIDUL LIBERAL - 1993,,,,1,0,0,0,0,0,0,216,0,0,,2 iunie,0
1,2,2,136,,UNIUNEA SOCIAL DEMOCRATA,PD(FSN) - PSDR,,,2,0,0,0,0,0,0,1841,2,1,,2 iunie,3
1,2,2,97,,PARTIDUL ROMANIA MARE,,,,3,0,0,0,0,0,0,221,0,0,,2 iunie,0
1,2,2,115,,PARTIDUL UNITATII NATIONALE,ROMANE,,,4,0,0,0,0,0,0,1584,2,1,,2 iunie,3
1,2,2,50,,PARTIDUL DEMOCRATIEI SOCIALE,DIN ROMANIA,,,5,0,0,0,0,0,0,1993,3,0,,2 iunie,3
1,2,2,41,,PARTIDUL DEMOCRAT AGRAR DIN,ROMANIA,,,6,0,0,0,0,0,0,122,0,0,,2 iunie,0
1,2,2,75,,PARTIDUL NATIONAL LIBERAL,(CAMPEANU),,,7,0,0,0,0,0,0,285,0,1,,2 iunie,1
1,2,2,128,,UNIUNEA DEMOCRATA MAGHIARA DIN,ROMANIA,,,8,0,0,0,0,0,0,2171,3,1,,2 iunie,4
1,2,2,19,,CONVENTIA DEMOCRATICA DIN,ROMANIA,,,9,0,0,0,0,0,0,3145,5,0,,2 iunie,5
1,2,2,27,,MISCAREA ECOLOGISTA DIN ROMANIA,,,,10,0,0,0,0,0,0,864,1,0,,2 iunie,1
1,2,2,138,,PARTIDUL SOCIALIST,,,,11,0,0,0,0,0,0,208,0,0,,2 iunie,0
1,2,2,104,,PARTIDUL SOCIALIST AL MUNCII,,,,12,0,0,0,0,0,0,351,0,1,,2 iunie,1
1,2,2,35,,"PARTIDUL ""PENTRU PATRIE""",,,,13,0,0,0,0,0,0,56,0,0,,2 iunie,0
1,2,2,999,,LETIA VASILE ADRIAN,CANDIDAT INDEPENDENT,,,14,0,0,0,0,0,0,81,0,0,,2 iunie,0
1,3,2,0,MUNICIPIUL BLAJ,,,,,0,17196,10930,8599,0,9891,1039,9891,12,9,21,2 iunie,21
1,3,2,115,,PARTIDUL UNITATII NATIONALE,ROMANE,,,1,0,0,0,0,0,0,1125,2,1,,2 iunie,3
1,3,2,50,,PARTIDUL DEMOCRATIEI SOCIALE,DIN ROMANIA,,,2,0,0,0,0,0,0,769,1,1,,2 iunie,2
1,3,2,27,,MISCAREA ECOLOGISTA DIN ROMANIA,,,,3,0,0,0,0,0,0,327,0,1,,2 iunie,1
1,3,2,104,,PARTIDUL SOCIALIST AL MUNCII,,,,4,0,0,0,0,0,0,303,0,1,,2 iunie,1
1,3,2,19,,CONVENTIA DEMOCRATICA DIN,ROMANIA,,,5,0,0,0,0,0,0,2895,6,0,,2 iunie,6
1,3,2,62,,PARTIDUL LIBERAL - 1993,,,,6,0,0,0,0,0,0,521,1,0,,2 iunie,1
1,3,2,128,,UNIUNEA DEMOCRATA MAGHIARA DIN,ROMANIA,,,7,0,0,0,0,0,0,601,1,0,,2 iunie,1
1,3,2,136,,UNIUNEA SOCIAL DEMOCRATA,PD(FSN) - PSDR,,,8,0,0,0,0,0,0,647,1,0,,2 iunie,1
1,3,2,41,,PARTIDUL DEMOCRAT AGRAR DIN,ROMANIA,,,9,0,0,0,0,0,0,99,0,0,,2 iunie,0
1,3,2,36,,PARTIDUL ALIANTEI CIVICE,,,,10,0,0,0,0,0,0,238,0,1,,2 iunie,1
1,3,2,999,,POPA EMIL ENEA,CANDIDAT INDEPENDENT,,,11,0,0,0,0,0,0,88,0,0,,2 iunie,0
1,3,2,999,,DUMA IULIAN,CANDIDAT INDEPENDENT,,,12,0,0,0,0,0,0,110,0,0,,2 iunie,0
1,3,2,999,,MISCA I. VIOREL,CANDIDAT INDEPENDENT,,,13,0,0,0,0,0,0,140,0,0,,2 iunie,0
1,3,2,999,,FRANCU TUDOR ALEX,CANDIDAT INDEPENDENT,,,14,0,0,0,0,0,0,267,0,1,,2 iunie,1
1,3,2,999,,COTOP D.MIHAIL,CANDIDAT INDEPENDENT,,,15,0,0,0,0,0,0,290,0,1,,2 iunie,1
1,3,2,999,,CALIMAN IOAN GHE.,CANDIDAT INDEPENDENT,,,16,0,0,0,0,0,0,129,0,0,,2 iunie,0
1,3,2,999,,STOICA GAVRILA,CANDIDAT INDEPENDENT,,,17,0,0,0,0,0,0,135,0,0,,2 iunie,0
1,3,2,999,,BOITOR ALEXANDRU,CANDIDAT INDEPENDENT,,,18,0,0,0,0,0,0,175,0,0,,2 iunie,0
1,3,2,999,,SIDERAS ALEXANDRU,CANDIDAT INDEPENDENT,,,19,0,0,0,0,0,0,277,0,1,,2 iunie,1
1,3,2,999,,PATRUTA IOAN,CANDIDAT INDEPENDENT,,,20,0,0,0,0,0,0,28,0,0,,2 iunie,0
1,3,2,999,,COMSEA FLOARE,CANDIDAT INDEPENDENT,,,21,0,0,0,0,0,0,108,0,0,,2 iunie,0
1,3,2,999,,POPTELECAN IOAN,CANDIDAT INDEPENDENT,,,22,0,0,0,0,0,0,48,0,0,,2 iunie,0
1,3,2,999,,MOLDOVAN IOAN,CANDIDAT INDEPENDENT,,,23,0,0,0,0,0,0,161,0,0,,2 iunie,0
1,3,2,999,,FUIOR IOAN MIRCEA,CANDIDAT INDEPENDENT,,,24,0,0,0,0,0,0,410,0,1,,2 iunie,1
1,4,2,0,ORAS ABRUD,,,,,0,4737,2977,2369,0,2808,169,2808,13,2,15,2 iunie,15
1,4,2,19,,CONVENTIA DEMOCRATICA DIN,ROMANIA,,,1,0,0,0,0,0,0,344,1,1,,2 iunie,2
1,4,2,104,,PARTIDUL SOCIALIST AL MUNCII,,,,2,0,0,0,0,0,0,391,2,0,,2 iunie,2
1,4,2,41,,PARTIDUL DEMOCRAT AGRAR DIN,ROMANIA,,,3,0,0,0,0,0,0,40,0,0,,2 iunie,0
1,4,2,50,,PARTIDUL DEMOCRATIEI SOCIALE,DIN ROMANIA,,,4,0,0,0,0,0,0,768,4,0,,2 iunie,4
1,4,2,36,,PARTIDUL ALIANTEI CIVICE,,,,5,0,0,0,0,0,0,861,4,1,,2 iunie,5
1,4,2,136,,UNIUNEA SOCIAL DEMOCRATA,PD(FSN) - PSDR,,,6,0,0,0,0,0,0,193,1,0,,2 iunie,1
1,4,2,115,,PARTIDUL UNITATII NATIONALE,ROMANE,,,7,0,0,0,0,0,0,211,1,0,,2 iunie,1
1,5,2,0,ORAS CAMPENI,,,,,0,7006,3686,3504,0,3307,376,3307,9,8,17,2 iunie,17
1,5,2,36,,PARTIDUL ALIANTEI CIVICE,,,,1,0,0,0,0,0,0,169,0,1,,2 iunie,1
1,5,2,19,,CONVENTIA DEMOCRATICA DIN,ROMANIA,,,2,0,0,0,0,0,0,794,4,0,,2 iunie,4
1,5,2,104,,PARTIDUL SOCIALIST AL MUNCII,,,,3,0,0,0,0,0,0,89,0,1,,2 iunie,1
1,5,2,50,,PARTIDUL DEMOCRATIEI SOCIALE,DIN ROMANIA,,,4,0,0,0,0,0,0,418,2,0,,2 iunie,2
1,5,2,27,,MISCAREA ECOLOGISTA DIN ROMANIA,,,,5,0,0,0,0,0,0,175,0,1,,2 iunie,1
1,5,2,136,,UNIUNEA SOCIAL DEMOCRATA,PD(FSN) - PSDR,,,6,0,0,0,0,0,0,222,1,0,,2 iunie,1
1,5,2,115,,PARTIDUL UNITATII NATIONALE,ROMANE,,,7,0,0,0,0,0,0,445,2,0,,2 iunie,2
1,5,2,41,,PARTIDUL DEMOCRAT AGRAR DIN,ROMANIA,,,8,0,0,0,0,0,0,112,0,1,,2 iunie,1
1,5,2,34,,"PARTIDUL ""NOUA ROMANIE""",,,,9,0,0,0,0,0,0,53,0,0,,2 iunie,0
1,5,2,999,,MORAR DOREL,CANDIDAT INDEPENDENT,,,10,0,0,0,0,0,0,77,0,0,,2 iunie,0
1,5,2,999,,BUZGARIU LIVIU IOAN,CANDIDAT INDEPENDENT,,,11,0,0,0,0,0,0,63,0,0,,2 iunie,0
1,5,2,999,,MUCEA IULIANA ADELA,CANDIDAT INDEPENDENT,,,12,0,0,0,0,0,0,41,0,0,,2 iunie,0
1,5,2,999,,SORAN DANIEL,CANDIDAT INDEPENDENT,,,13,0,0,0,0,0,0,86,0,1,,2 iunie,1
1,5,2,999,,MARCU IOSIF PETRU,CANDIDAT INDEPENDENT,,,14,0,0,0,0,0,0,85,0,1,,2 iunie,1
1,5,2,999,,URSATEANU ANTONIU,CANDIDAT INDEPENDENT,,,15,0,0,0,0,0,0,66,0,0,,2 iunie,0
1,5,2,999,,MOTORA ROMAN,CANDIDAT INDEPENDENT,,,16,0,0,0,0,0,0,46,0,0,,2 iunie,0
1,5,2,999,,ARIESAN LIVIU,CANDIDAT INDEPENDENT,,,17,0,0,0,0,0,0,65,0,0,,2 iunie,0
1,5,2,999,,POPA CEZAR MARIUS,CANDIDAT INDEPENDENT,,,18,0,0,0,0,0,0,78,0,0,,2 iunie,0
1,5,2,999,,ONET NICOLAE,CANDIDAT INDEPENDENT,,,19,0,0,0,0,0,0,80,0,1,,2 iunie,1
1,5,2,999,,OPREA IOAN VALENTIN,CANDIDAT INDEPENDENT,,,20,0,0,0,0,0,0,86,0,1,,2 iunie,1
1,5,2,999,,GHERMAN VALERIU,CANDIDAT INDEPENDENT,,,21,0,0,0,0,0,0,33,0,0,,2 iunie,0
1,5,2,999,,BERINDEI GHERASIM,CANDIDAT INDEPENDENT,,,22,0,0,0,0,0,0,24,0,0,,2 iunie,0
1,6,2,0,ORAS CUGIR,,,,,0,24175,14590,12088,0,13785,805,13785,14,7,21,2 iunie,21
1,6,2,136,,UNIUNEA SOCIAL DEMOCRATA,PD(FSN) - PSDR,,,1,0,0,0,0,0,0,2372,3,1,,2 iunie,4
1,6,2,50,,PARTIDUL DEMOCRATIEI SOCIALE,DIN ROMANIA,,,2,0,0,0,0,0,0,1340,2,0,,2 iunie,2
1,6,2,115,,PARTIDUL UNITATII NATIONALE,ROMANE,,,3,0,0,0,0,0,0,722,1,0,,2 iunie,1
1,6,2,62,,PARTIDUL LIBERAL - 1993,,,,4,0,0,0,0,0,0,294,0,1,,2 iunie,1
1,6,2,27,,MISCAREA ECOLOGISTA DIN ROMANIA,,,,5,0,0,0,0,0,0,457,0,1,,2 iunie,1
1,6,2,138,,PARTIDUL SOCIALIST,,,,6,0,0,0,0,0,0,414,0,1,,2 iunie,1
1,6,2,97,,PARTIDUL ROMANIA MARE,,,,7,0,0,0,0,0,0,327,0,1,,2 iunie,1
1,6,2,82,,PARTIDUL PENSIONARILOR DIN,ROMANIA,,,8,0,0,0,0,0,0,195,0,0,,2 iunie,0
1,6,2,19,,CONVENTIA DEMOCRATICA DIN,ROMANIA,,,9,0,0,0,0,0,0,4046,6,0,,2 iunie,6
1,6,2,91,,PARTIDUL REPUBLICAN,,,,10,0,0,0,0,0,0,22,0,0,,2 iunie,0
1,6,2,112,,PARTIDUL UMANIST DIN ROMANIA,,,,11,0,0,0,0,0,0,28,0,0,,2 iunie,0
1,6,2,34,,"PARTIDUL ""NOUA ROMANIE""",,,,12,0,0,0,0,0,0,739,1,0,,2 iunie,1
1,6,2,104,,PARTIDUL SOCIALIST AL MUNCII,,,,13,0,0,0,0,0,0,810,1,0,,2 iunie,1
1,6,2,36,,PARTIDUL ALIANTEI CIVICE,,,,14,0,0,0,0,0,0,569,0,1,,2 iunie,1
1,6,2,41,,PARTIDUL DEMOCRAT AGRAR DIN,ROMANIA,,,15,0,0,0,0,0,0,111,0,0,,2 iunie,0
1,6,2,999,,VASILCAN VOICU VASIL,CANDIDAT INDEPENDENT,,,16,0,0,0,0,0,0,184,0,0,,2 iunie,0
1,6,2,999,,COCAS IOAN ILIE,CANDIDAT INDEPENDENT,,,17,0,0,0,0,0,0,144,0,0,,2 iunie,0
1,6,2,999,,CLONTA MIRCEA,CANDIDAT INDEPENDENT,,,18,0,0,0,0,0,0,238,0,1,,2 iunie,1
1,6,2,999,,MATECIUC AUREL,CANDIDAT INDEPENDENT,,,19,0,0,0,0,0,0,30,0,0,,2 iunie,0
1,6,2,999,,DAIAN PAVEL,CANDIDAT INDEPENDENT,,,20,0,0,0,0,0,0,28,0,0,,2 iunie,0
1,6,2,999,,POP GRIGORE,CANDIDAT INDEPENDENT,,,21,0,0,0,0,0,0,28,0,0,,2 iunie,0
1,6,2,999,,NEDEA MARIN,CANDIDAT INDEPENDENT,,,22,0,0,0,0,0,0,182,0,0,,2 iunie,0
1,6,2,999,,ROB AUREL,CANDIDAT INDEPENDENT,,,23,0,0,0,0,0,0,40,0,0,,2 iunie,0
1,6,2,999,,STEFANESCU GHEORGHE,CANDIDAT INDEPENDENT,,,24,0,0,0,0,0,0,40,0,0,,2 iunie,0
1,6,2,999,,MARINAU MARIUS PETRU,CANDIDAT INDEPENDENT,,,25,0,0,0,0,0,0,124,0,0,,2 iunie,0
1,6,2,999,,MOLDOVAN IOAN,CANDIDAT INDEPENDENT,,,26,0,0,0,0,0,0,148,0,0,,2 iunie,0
1,6,2,999,,BULZAN LIVIU,CANDIDAT INDEPENDENT,,,27,0,0,0,0,0,0,96,0,0,,2 iunie,0
1,6,2,999,,PASCU SIMION,CANDIDAT INDEPENDENT,,,28,0,0,0,0,0,0,57,0,0,,2 iunie,0
1,7,2,0,ORAS OCNA MURES,,,,,0,12931,8083,6466,0,7633,450,7633,14,5,19,2 iunie,19
1,7,2,136,,UNIUNEA SOCIAL DEMOCRATA,PD(FSN) - PSDR,,,1,0,0,0,0,0,0,642,1,1,,2 iunie,2
1,7,2,50,,PARTIDUL DEMOCRATIEI SOCIALE,DIN ROMANIA,,,2,0,0,0,0,0,0,1001,2,1,,2 iunie,3
1,7,2,19,,CONVENTIA DEMOCRATICA DIN,ROMANIA,,,3,0,0,0,0,0,0,1573,3,1,,2 iunie,4
1,7,2,62,,PARTIDUL LIBERAL - 1993,,,,4,0,0,0,0,0,0,437,1,0,,2 iunie,1
1,7,2,104,,PARTIDUL SOCIALIST AL MUNCII,,,,5,0,0,0,0,0,0,254,0,1,,2 iunie,1
1,7,2,41,,PARTIDUL DEMOCRAT AGRAR DIN,ROMANIA,,,6,0,0,0,0,0,0,66,0,0,,2 iunie,0
1,7,2,34,,"PARTIDUL ""NOUA ROMANIE""",,,,7,0,0,0,0,0,0,98,0,0,,2 iunie,0
1,7,2,128,,UNIUNEA DEMOCRATA MAGHIARA DIN,ROMANIA,,,8,0,0,0,0,0,0,425,1,0,,2 iunie,1
1,7,2,75,,PARTIDUL NATIONAL LIBERAL,(CAMPEANU),,,9,0,0,0,0,0,0,2081,5,0,,2 iunie,5
1,7,2,27,,MISCAREA ECOLOGISTA DIN ROMANIA,,,,10,0,0,0,0,0,0,62,0,0,,2 iunie,0
1,7,2,97,,PARTIDUL ROMANIA MARE,,,,11,0,0,0,0,0,0,89,0,0,,2 iunie,0
1,7,2,36,,PARTIDUL ALIANTEI CIVICE,,,,12,0,0,0,0,0,0,502,1,0,,2 iunie,1
1,7,2,115,,PARTIDUL UNITATII NATIONALE,ROMANE,,,13,0,0,0,0,0,0,302,0,1,,2 iunie,1
1,7,2,999,,CIUNGAN VICTOR,CANDIDAT INDEPENDENT,,,14,0,0,0,0,0,0,101,0,0,,2 iunie,0
1,8,2,0,ORAS SEBES,,,,,0,23336,12795,11669,0,11943,823,11943,12,9,21,2 iunie,21
1,8,2,32,,PARTIDA ROMILOR,,,,1,0,0,0,0,0,0,362,0,1,,2 iunie,1
1,8,2,125,,UNIUNEA DEMOCRATA A ROMILOR DIN,ROMANIA,,,2,0,0,0,0,0,0,140,0,0,,2 iunie,0
